building_id,measurement_end_date,measurement_start_date,energystar_score,fuel_type,number_of_stories,number_of_occupants,primary_building_type,floor_area_sqft,vintage,weather_file_name_epw,weather_file_name_ddy
BUILDING ID 1,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,105530,,temporary.epw,temporary.ddy
BUILDING ID 2,31/12/15 23:00,1/1/2015 0:00,,,,,College Classroom,56969,1967,temporary.epw,temporary.ddy
BUILDING ID 3,31/12/12 23:00,1/1/2012 0:00,,,,,Office,294651,,temporary.epw,temporary.ddy
BUILDING ID 4,31/12/12 23:00,1/1/2012 0:00,,,,,Office,496517,,temporary.epw,temporary.ddy
BUILDING ID 5,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,233062,,temporary.epw,temporary.ddy
BUILDING ID 6,31/12/15 23:00,1/1/2015 0:00,,,,,Office,92271,2001,temporary.epw,temporary.ddy
BUILDING ID 7,30/11/15 23:00,1/12/2014 0:00,,Gas,2,212,Primary/Secondary Classroom,31505.9353,pre 1919,temporary.epw,temporary.ddy
BUILDING ID 8,30/11/15 23:00,1/12/2014 0:00,,Gas,2,219,Primary/Secondary Classroom,47070.5347,1919-1945,temporary.epw,temporary.ddy
BUILDING ID 9,30/11/15 23:00,1/12/2014 0:00,,Gas,1,40,Office,42646.5718,Post 1976,temporary.epw,temporary.ddy
BUILDING ID 10,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,276443,,temporary.epw,temporary.ddy
BUILDING ID 11,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,315404,,temporary.epw,temporary.ddy
BUILDING ID 12,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,77247,,temporary.epw,temporary.ddy
BUILDING ID 13,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,108405,,temporary.epw,temporary.ddy
BUILDING ID 14,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,92032,,temporary.epw,temporary.ddy
BUILDING ID 15,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,72333,,temporary.epw,temporary.ddy
BUILDING ID 16,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,95132,,temporary.epw,temporary.ddy
BUILDING ID 17,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,105215,,temporary.epw,temporary.ddy
BUILDING ID 18,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,81681,,temporary.epw,temporary.ddy
BUILDING ID 19,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,153699,,temporary.epw,temporary.ddy
BUILDING ID 20,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,217241,,temporary.epw,temporary.ddy
BUILDING ID 21,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,79503,,temporary.epw,temporary.ddy
BUILDING ID 22,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,197266,,temporary.epw,temporary.ddy
BUILDING ID 23,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,94150,,temporary.epw,temporary.ddy
BUILDING ID 24,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,92179,,temporary.epw,temporary.ddy
BUILDING ID 25,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,86867,,temporary.epw,temporary.ddy
BUILDING ID 26,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,132737,,temporary.epw,temporary.ddy
BUILDING ID 27,31/12/12 23:00,1/1/2012 0:00,,,,,Office,126205,,temporary.epw,temporary.ddy
BUILDING ID 28,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,175537,,temporary.epw,temporary.ddy
BUILDING ID 29,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,80224,,temporary.epw,temporary.ddy
BUILDING ID 30,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,97901,,temporary.epw,temporary.ddy
BUILDING ID 31,31/12/12 23:00,1/1/2012 0:00,,,,,Primary/Secondary Classroom,117074,,temporary.epw,temporary.ddy
BUILDING ID 32,31/01/13 23:00,2/2/2012 0:00,,,,,Primary/Secondary Classroom,107639,,temporary.epw,temporary.ddy
