id,bricr_apn,seed_building_id,seed_primary_property_type,building_type_id,seed_building_address,seed_property_name_seed,seed_property_gfa_ft2,seed_property_gfa_m2,bricr_building_name,bricr_occupancy_classification,bricr_gfa_ft2,bricr_building_height_m2_fix,bricr_number_of_floors,bricr_building_perimeter_ft,bricr_building_footprint_floor_area_ft2,bricr_completed_construction_status_date,bricr_last_modified_date,seed_2018_1_elec_kwh,seed_2018_2_elec_kwh,seed_2018_3_elec_kwh,seed_2018_4_elec_kwh,seed_2018_5_elec_kwh,seed_2018_6_elec_kwh,seed_2018_7_elec_kwh,seed_2018_8_elec_kwh,seed_2018_9_elec_kwh,seed_2018_10_elec_kwh,seed_2018_11_elec_kwh,seed_2018_12_elec_kwh,seed_2018_1_gas_therm,seed_2018_2_gas_therm,seed_2018_3_gas_therm,seed_2018_4_gas_therm,seed_2018_5_gas_therm,seed_2018_6_gas_therm,seed_2018_7_gas_therm,seed_2018_8_gas_therm,seed_2018_9_gas_therm,seed_2018_10_gas_therm,seed_2018_11_gas_therm,seed_2018_12_gas_therm
2,SF3786014,"3786/014, 3786/104-160 (57 lots)",Office,3,330 Townsend Street,"330 Townsend (SF) Owner, LLC",61872,5748,330 TOWNSEND SF OWNER LLC  ,Office,61872,9.43,2,250.23,2915.92,1985,20090415,27540.19472,12179.51198,39426.66479,27878.57474,29050.80096,30228.4197,29559.80704,29457.20281,25939.49838,28930.49523,25152.63149,25337.50081,414.988,759.397,655.592,248.69,27.125,5.358,1.451,7.097,5.613,14.857,247,305.5
4,SF3912003,3912/003,Office,3,25 Division St.,25 Division St.,41777,3881,DOHENY-VIDOVICH PARTNERS,Office,41777,6.64,2,209.16,2652.13,1950,20090414,15161.51154,14051.18196,16139.95909,15216.11071,16214.22333,16351.05828,17862.89543,17909.66959,16468.11092,17177.90009,16847.52091,15517.50514,14.533,10.5,30.362,9.605,8.69,6.43,6.214,7.473,8.176,15.052,112.875,222.98
7,SF3754017,"3754/017	",Office,3,1098 Harrison Street,1098 Harrison,42039,3906,ECI FIVE HARRISON LLC,Office,42039,9.91,1,229.97,2491.7,1924,20130220,30339.17131,27311.45264,31698.52351,30453.90869,29498.78962,30890.46757,31948.3081,32006.45343,30667.58691,33741.90391,26763.40947,26353.1977,447.625,608.179,620.27,359.46,77.927,24.74,22.494,16.172,24.533,28.779,4.688,0.839
10,SF4083002,4083/002,Office,3,3130 20th Street,3130 20th Street,56055,5208,TWENTIETH ST ASSOC (UCSF)20,Office,74055,13.47,3,257.4,2244.97,1949,20110607,28679.7142,26221.78457,28478.63804,26749.86958,26592.22658,26203.73138,27741.53464,26930.37214,28132.63817,28783.54933,24924.29971,26447.18564,1036.267,820.75,592.078,241.439,128.015,99.236,96.383,103.1,105.896,125.037,687.379,1245.784
13,SF3593001,3593/001,Office,3,2300 Harrison Street,2300 Harrison Street,68538,6367,562 MISSION STREET LLC  ,Office,68538,14.55,3,200.01,2119.93,1913,20030605,52470.38515,49975.08895,54956.18585,52206.24007,54431.2367,52596.55231,55668.29028,55640.59505,55202.42429,63829.38566,58468.14609,49904.19502,2144.933,1624.875,1686.401,1314.524,1127.481,803.202,699.184,703.242,769.16,807.864,1631.035,166.031
14,SF3807001,3807/001,Office,1,960 7th Street,Recology Golden Gate Office,16771,1558,MACOR INC,Office,16771,5.41,1,241.99,2055.02,1974,,40723.44628,34234.70315,36691.19673,35584.55984,37620.81861,36958.30183,37422.70247,37523.48966,36336.17026,39625.68945,37262.21667,40010.49195,1764.333,1637.125,1511.254,1179.154,1090.654,1020.95,928.196,962.394,934.928,1011.611,1338.64,1760.9
15,SF3912002, 3912/002,Office,3,99 Rhode Island Street,99 Rhode Island,60350,5607,OELSNER COMMERCIAL PROPERTI,Office,60350,13.89,3,182.54,1846.64,1948,19980313,94388.33108,80901.80942,83140.1701,67433.39957,64646.96642,63013.50472,68473.15761,93352.23643,85282.63788,88566.17841,73642.289,57622.78218,5068.199,4109,3758.104,2998.497,2920.681,2696.822,2579.13,3362.766,2857.621,2455.179,2632.012,2250.381
17,SF3748031,3748/031,Office,3,450 HARRISON STREET,SAILORS' UNION OF THE PACIFIC,50037,4649,SAILORS UNION PAC BLDG CORP,Office,50037,36.75,3,177.87,1703.34,1949,,18264.08061,15014.3898,16445.01691,15500.0381,14394.80795,13542.11726,12767.06114,13579.33731,13360.67688,13985.32886,13417.88438,16195.61331,1349.103,1124.517,1040.069,795.331,640.225,221.642,168.837,252.563,435.885,289.698,439.483,1036.88
18,SF4007002,4007/002,Office,3,555 De Haro Street,555 De Haro Street,61921,5753,BRIDGETON 555 DEHARO FEE LL,Office,61921,14.63,3,225.57,1682.93,1900,20150129,32608.80269,28180.9363,30698.21285,26727.27379,26362.13637,26294.29039,27331.4694,26424.61915,24513.9414,1626.633139,22626.76795,23518.61295,761.7,706.59,615.92,479.48,330.5,213.53,149.7,157.78,207.86,21.62,303.49,903.1
19,SF3780004D,3780/004D,Office,3,808 Brannan St,"Eagle River Investors - Brannan, LLC",60864,5654,EAGLE RIVER INVESTORS - BRA,Office,60864,10.46,3,164.57,1634.11,1930,20120921,48724.93508,42925.26098,44141.97542,39860.67395,41621.56301,42240.44148,44442.54925,42240.32425,40329.20689,43749.58237,37089.45119,38309.27219,1932.317,2177.293,1801.293,677.206,408.35,265.422,233.473,157.355,177.353,354.164,1334.358,1048.077
20,SF3789009,3789/009,Office,3,275 Brannan Street,275 Brannan,65402,6076,HUDSON 275 BRANNAN LLC  ,Office,65402,18.25,3,161.4,1624.69,1906,20111208,48476.11763,47452.59573,54295.72057,48613.8904,47766.85599,48134.30867,46986.5832,48121.99968,48026.04817,52431.8756,48069.89162,47183.35121,288.13,706.85,720.94,430.08,253.7,180.22,119.01,86.36,70.08,207.49,401.08,629.22
21,SF3776041,3776/041,Office,3,539 Bryant Street,539 Bryant,59989,5573,TRPF 539 BRYANT STREET LP  ,Office,67789,19.71,4,254.32,1598.64,1912,20090515,32512.23572,29277.13986,31121.70075,27435.86137,28086.94837,28938.40815,30191.05312,29406.70664,30216.43309,34282.91336,29815.68752,29771.34584,2450.667,2291.484,2080.964,1495.252,1140.55,847.095,761.204,1064.139,1115.579,1177.733,1649.062,2114.679
22,SF5585004,5585/004,Office,1,2211 Palou Ave,Southern Wine & Spirits - Dorman,16500,1533,SAN FRANCISCO LLC ,Office,16500,4.95,1,171.64,1536.18,1947,,14514.11724,12753.02303,14888.63294,14211.90221,17473.0228,16992.85492,13849.22659,10945.91664,9189.951174,11804.38083,12385.74619,11638.20945,676.646,681.015,1065.906,812.392,755.323,597.752,478.956,308.11,80.983,148.718,529.653,1178.879
23,SF3752095,3752/095,Office,3,874-880 Harrison Street,880 Harrison,33691,3130,SAN FRANCISCO HARRISON LLC ,Office,33691,9.63,3,179.48,1525.63,1922,20111031,23131.40727,19040.27971,20597.9825,18013.88571,17062.7231,17177.75355,18271.20224,18915.9589,11366.15145,11496.27506,24093.3256,24069.14722,509.8,406.625,486.34,459.568,287.307,173.437,206.988,185.236,172.009,206.926,137.67,508.531
25,SF6901001A,6901/001A,Office,1,2499 Ocean Avenue,2499 Ocean Ave,22429,2084,JUNIPERO SERRA ASSOCS LLC  ,Office,34875,12.88,2,201.07,1468.91,1977,20040510,15647.68738,14586.88682,15669.34534,14819.67328,15170.59675,14472.44251,14542.13485,14089.51567,12511.62027,12740.9778,11553.77564,12008.91523,689.208,328.046,755.058,599.011,842.552,595.5,606.7,720.467,508.708,532.728,524.23,706.667
27,SF3953003,3953/003,Office,1,10 Arkansas St,10 Arkansas,16178,1503,NIBBI INVESTMENTS ,Office,16178,5.99,1,301.83,1464.13,1916,,21384.43909,18422.74936,19288.21795,16381.06877,13990.34037,12526.06868,12959.78477,12242.78605,12443.30537,14094.52719,16604.38903,18470.02175,1034.4,930.125,641.22,410.055,291.225,207.065,117.71,123.6,124.655,203.612,579.483,922.734
28,SF3592015,3592/015,Office,3,3175 18th Street,500 Treat,29634,2753,TREAT PROPERTY LLC,Office,41434,10.84,2,155.95,1459.15,1947,,23659.11129,21689.49691,24673.72382,22561.82337,22823.94626,24058.91904,25232.69854,24258.85222,23090.40661,23930.81761,18991.10236,18173.31645,719.267,584.5,466.155,279.412,191.027,108.217,61.79,74.627,105.031,138.708,455.846,766.559
30,SF3504047,3504/047,Office,3,44 Gough St,Gough,34955,3247,GOUGH CLUB LLC ,Office,34955,11.15,3,205.4,1433.97,1906,20041227,20250.48796,18448.07071,20946.35625,20359.33461,22200.08558,21815.42961,24105.51736,25330.02749,23735.25119,44636.47447,26653.80084,23182.51889,46.726,38.269,29.034,22.083,14.393,3.136,0.2,1.613,1.244,1.779,32.364,64.25
31,SF3774031,3774/031,Office,3,577 2nd St.,577 2nd St.,30480,2832,PHOENIX INDUSTRIES,Office,30480,15.09,2,158.26,1407.92,1923,,11203.93653,10697.30433,12243.95834,11299.85874,11141.98128,11278.75761,11881.45856,10942.51701,10842.49181,11357.53515,9081.104527,8310.268629,595.338,483.768,475.197,306.797,183.1,106.067,52.968,22.299,34.942,92.099,273.731,748.481
36,SF3750008,3750/008,Office,3,642 HARRISON ST,PMI - 642 Harrison Street,50393,4682,SF HARRISON LLC,Office,50393,20,5,170.95,1246.21,1925,20121011,65053.4855,59570.62137,66808.45452,63781.76159,64283.96842,64425.40458,66072.31825,66826.36117,62443.53983,71958.1846,54057.74675,47805.48278,1488.67,1269.707,1081.935,1169.615,2004.406,1694.865,1436.519,1004.857,974.976,1120.679,1210.267,1392.669
37,SF3785002,3785/002,Office,3,650 5th Street,650 5th St.,53277,4950,TOWNSEND ASSOCIATES LLC ,Office,64277,18.66,5,152.57,1220.1,1924,19970521,65134.40246,61224.74459,65250.42935,62099.18116,63197.90513,62942.84525,64289.74192,63307.10346,60779.65734,65666.53185,64616.28186,65672.92081,248.434,256.872,192.232,122.162,147.325,166.708,162.322,136.012,132.988,135.845,176.967,316.308
38,SF4014002,4014/002,Office,3,2500 18th Street,Homeless Prenatal Program,26800,2490,HOMELESS PRENATAL PROGRAM I,Office,26800,14.75,3,143.69,1215.8,1925,20100628,14371.47948,12670.34764,13842.25149,13178.09351,13610.81316,13383.03821,14007.7195,13653.66017,13805.70551,13912.70581,13666.76045,14497.0898,361.467,314.64,342.99,126.703,30.525,19.342,6.258,1.155,1.018,1.853,135.629,421.621
40,SF3777042,3777/042,Office,1,552 Brannan Street,552 Brannan Street,24000,2230,FREELON LLC ,Office,24000,7.5,2,145.64,1191.48,1923,20090522,21715.31649,20561.67097,23376.47342,24782.92215,26611.01244,27490.10885,29285.49239,27978.68786,26251.79506,27075.70616,21077.82799,19327.02058,35.431,56.756,26.45,2.762,0.1,0.867,0.133,0,0.897,0.103,9.533,32.822
41,SF3519067,3519/067,Office,3,346 9th Street,346 9th Street,25200,2341,AC PROPERTIES HOLDINGS LLC ,Office,25200,9.22,2,137.98,1168.93,1920,20131204,32830.65759,31638.70767,39078.40827,32947.974,29936.93108,30653.31434,31288.63411,30970.35878,29213.1038,29316.85101,17328.30423,3049.699016,2.731,32.132,91.11,12.528,0.3,0,0,0,1.793,1.11,48.871,15.936
42,SF4227034,4227/034,Office,1,1234 Indiana Street,Hire-Ability Vocational Services,15161,1408,PHILLIPS SUSAN J &,Office,15161,8.25,1,142.69,1164.82,1969,,6718.04205,6318.117076,6941.919148,6999.800712,7017.12122,6762.588874,7020.081239,6750.191962,6922.547141,7326.399268,6470.36757,6957.012315,177.933,161,139.379,124.354,102.517,73.991,67.592,72.167,70.31,79.123,191.067,266.081
