uid,dataend,datastart,energystarscore,heatingtype,industry,mainheatingtype,numberoffloors,occupants,primaryspaceusage,rating,sqft,sqm,subindustry,timezone,yearbuilt,nickname,primaryspaceuse_abbrev,newweatherfilename,lat,lng,city,state,zipcode,climate_zone,epw,ddy
UnivClass_Abby,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,College Classroom,,9309,864.834027,College/University,America/Phoenix,1970,Abby,UnivClass,weather2.csv,42.4490704,-76.4805815,,New York,14853,6A,NY_ITHACA-TOMPKINS-CO_725155S_15.epw,USA_NY_Ithaca.Tompkins.Rgnl.AP.725155_TMYx.2004-2018.ddy
UnivLab_Andre,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,College Laboratory,,96124,8930.207972,College/University,America/Phoenix,1959,Andre,UnivLab,weather6.csv,50.9344936,-1.395317,Southampton,England,SO17 1BE,4A,GBR_SOUTHAMPTON-WX-CNTR_038650S_15.epw,GBR_SOUTHAMPTON-WX-CNTR_038650S_15.ddy
UnivDorm_Chester,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,Dormitory,,65999,6131.505097,College/University,America/New_York,1975,Chester,UnivDorm,weather10.csv,1.3,103.8,Singapore,,148812,1A,SGP_SINGAPORE-CHANGI-AP_486980_13.epw,SGP_Singapore.486980_IWEC.ddy
Office_Cristina,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,Office,,92271,8572.252713,College/University,America/New_York,2001,Cristina,Office,weather8.csv,47.406831,8.511357,Zurich,Zurich,8093,4A,CHE_ZURICH-KLOTEN_066700S_13.epw,CHE_ZURICH-KLOTEN_066700S_13.ddy
PrimClass_Jaylin,30/11/15 23:00,1/12/2014 0:00,,Gas,Education,Gas,2,219,Primary/Secondary Classroom,C,47070.5347,4373,Primary/Secondary School,Europe/London,1919-1945,Jaylin,PrimClass,weather1.csv,51.48514811,-3.178644205,Cardiff,Wales,CF,4A,GBR_CARDIFF-WALES-AP_037150S_15.epw,GBR_CARDIFF-WALES-AP_037150S_15.ddy
UnivClass_Alvin,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,College Classroom,,95944,8913.485432,College/University,America/Phoenix,1961,Alvin,UnivClass,weather1.csv,51.51896107,-3.097681344,Cardiff,Wales,CF,4A,GBR_CARDIFF-WALES-AP_037150S_15.epw,GBR_CARDIFF-WALES-AP_037150S_15.ddy
UnivLab_Allison,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,College Laboratory,,4689,435.622167,College/University,America/Phoenix,2005,Allison,UnivLab,weather1.csv,51.51896107,-3.097681344,Cardiff,Wales,CF,4A,GBR_CARDIFF-WALES-AP_037150S_15.epw,GBR_CARDIFF-WALES-AP_037150S_15.ddy
UnivDorm_Cathalina,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,Dormitory,,142901,13275.9316,College/University,America/New_York,2007,Cathalina,UnivDorm,weather2.csv,42.44719095,-76.48773123,Ithaca,New York,14850,6A,NY_ITHACA-TOMPKINS-CO_725155S_15.epw,USA_NY_Ithaca.Tompkins.Rgnl.AP.725155_TMYx.2004-2018.ddy
Office_Caleb,31/12/15 23:00,1/1/2015 0:00,,,Education,,,,Office,,87977,8173.327231,College/University,America/New_York,1947,Caleb,Office,weather10.csv,1.3,103.8,Singapore,,148812,1A,SGP_SINGAPORE-CHANGI-AP_486980_13.epw,SGP_Singapore.486980_IWEC.ddy
PrimClass_Jean,30/11/15 23:00,1/12/2014 0:00,,Gas,Education,Gas,2,284,Primary/Secondary Classroom,C,28825.7242,2678,Primary/Secondary School,Europe/London,post 1976,Jean,PrimClass,weather0.csv,33.4172,-111.9365,Tempe,Arizona,85287,2B,AZ_PHOENIX-SKY-HARBOR-IAP_722780S_15.epw,AZ_PHOENIX-SKY-HARBOR-IAP_722780S_15.ddy
