realization_name,Office_Cristina,UnivClass_Abby,PrimClass_Jaylin,UnivDorm_Chester,UnivLab_Andre,Office_Caleb,PrimClass_Jean,UnivClass_Alvin,UnivDorm_Cathalina,UnivLab_Allison
basic_scenario_dir,Office_Cristina,UnivClass_Abby,PrimClass_Jaylin,UnivDorm_Chester,UnivLab_Andre,Office_Caleb,PrimClass_Jean,UnivClass_Alvin,UnivDorm_Cathalina,UnivLab_Allison
building_id,1,1,1,1,1,1,1,1,1,1
default_scenario,Baseline,Baseline,Baseline,LED Only,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
start_date,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017
end_date,12/31/2017,12/31/2017,12/31/2017,12/31/2017,12/31/2017,12/31/2017,12/31/2017,12/31/2017,12/31/2017,12/31/2017
scenario_name_1,"""LED Only""","""All Package""","""LED Only""",Baseline,"""LED Only""",,"""LED Only""","""LED Only""","""LED Only""","""LED Only"""
active_after_1,3/1/2017,8/5/2017,3/25/2017,11/11/2017,1/2/2017,,1/2/2017,1/2/2017,1/2/2017,1/2/2017
scenario_name_2,"""All Package""","""LED Only""","""All Package""","""All Package""","""All Package""",,"""All Package""","""All Package""","""All Package""","""All Package"""
active_after_2,7/9/2017,11/9/2017,3/28/2017,12/12/2017,1/3/2017,,1/3/2017,1/3/2017,1/3/2017,1/3/2017
scenario_name_3,,,,,"""LED Only""",,"""LED Only""","""LED Only""","""LED Only""","""Cooling_System_SEER 14 Only"""
active_after_3,,,,,1/4/2017,,1/4/2017,1/4/2017,1/4/2017,1/4/2017
scenario_name_4,,,,,"""All Package""",,,"""All Package""","""All Package""","""Air_Seal_Infiltration_30%_More_Airtight Only"""
active_after_4,,,,,1/5/2017,,,1/5/2017,1/5/2017,1/5/2017
scenario_name_5,,,,,"""LED Only""",,,"""LED Only""","""LED Only""","""Electric_Appliance_30%_Reduction Only"""
active_after_5,,,,,1/8/2017,,,1/8/2017,1/8/2017,1/8/2017
scenario_name_6,,,,,"""All Package""",,,,"""All Package""","""All Package"""
active_after_6,,,,,2/1/2017,,,,2/1/2017,2/1/2017
scenario_name_7,,,,,"""LED Only""",,,,"""LED Only""","""LED Only"""
active_after_7,,,,,3/1/2017,,,,3/1/2017,3/1/2017
scenario_name_8,,,,,"""All Package""",,,,"""All Package""","""All Package"""
active_after_8,,,,,5/5/2017,,,,5/5/2017,5/5/2017
scenario_name_9,,,,,"""LED Only""",,,,,"""LED Only"""
active_after_9,,,,,8/5/2017,,,,,8/5/2017
scenario_name_10,,,,,"""All Package""",,,,,"""All Package"""
active_after_10,,,,,10/10/2017,,,,,10/10/2017
